Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
Paddington 2,6,"$8,009,129 ","$24,810,362 ",3,9,"$5,668,433 "
Star Wars: The Last Jedi,8,"$6,555,435 ","$604,273,911 ",7,11,"$4,254,001 "
"Three Billboards Outside Ebbing, Missouri",17,"$1,917,162 ","$31,994,519 ",12,12,"$3,840,684 "
The Commuter,7,"$6,603,842 ","$25,627,371 ",3,14,"$3,412,694 "
Insidious: The Last Key,9,"$5,874,055 ","$58,658,320 ",4,15,"$3,189,055 "
"I, Tonya",14,"$2,861,168 ","$14,509,885 ",8,16,"$3,028,658 "
Phantom Thread,12,"$3,246,720 ","$6,059,449 ",5,17,"$2,981,885 "
Darkest Hour,15,"$2,729,810 ","$40,792,987 ",10,18,"$2,886,835 "
Lady Bird,22,"$1,194,401 ","$39,053,636 ",13,19,"$1,887,226 "
Coco,18,"$1,910,672 ","$200,726,972 ",10,21,"$1,435,157 "
Pitch Perfect 3,13,"$3,022,185 ","$100,535,230 ",6,22,"$1,367,760 "
Proud Mary,11,"$3,568,996 ","$16,850,600 ",3,23,"$1,326,285 "
Call Me by Your Name,21,"$1,437,889 ","$9,135,264 ",10,24,"$1,289,639 "
Ferdinand,19,"$1,686,160 ","$79,172,376 ",7,25,"$1,020,203 "
Molly's Game,20,"$1,622,177 ","$24,280,686 ",5,26,"$900,977 "
Wonder,24,"$536,824 ","$129,891,525 ",11,27,"$430,758 "
Justice League,32,"$126,109 ","$227,702,179 ",11,28,"$306,788 "
All the Money in the World,25,"$377,888 ","$24,106,979 ",5,29,"$224,789 "
Thor: Ragnarok,28,"$234,516 ","$313,433,047 ",13,30,"$181,829 "
Daddy's Home 2,29,"$210,675 ","$103,543,455 ",12,32,"$152,768 "
Murder on the Orient Express (2017),30,"$181,210 ","$102,303,321 ",12,34,"$127,129 "
The Disaster Artist,31,"$174,998 ","$20,726,034 ",9,35,"$99,095 "
Downsizing,36,"$70,037 ","$24,314,346 ",6,36,"$71,321 "
The Insult,45,"$23,222 ","$64,642 ",3,37,"$60,872 "
Along with the Gods: The Two Worlds,33,"$103,706 ","$1,684,791 ",6,38,"$60,073 "
The Florida Project,39,"$38,903 ","$5,571,691 ",17,39,"$58,071 "
The Star,35,"$73,445 ","$40,715,377 ",11,40,"$52,898 "
Film Stars Don't Die in Liverpool,42,"$35,255 ","$190,829 ",5,42,"$34,229 "
In the Fade,48,"$16,227 ","$101,082 ",5,43,"$30,833 "
Blade Runner 2049,38,"$49,170 ","$92,001,208 ",17,44,"$24,132 "
Loving Vincent,44,"$29,372 ","$6,532,388 ",19,45,"$23,647 "
The Square,51,"$13,064 ","$1,351,205 ",14,46,"$23,449 "
Condorito: La Pelicula,34,"$76,014 ","$400,460 ",3,47,"$23,312 "
Happy End,43,"$30,403 ","$161,783 ",6,48,"$21,008 "
A Beautiful Planet,46,"$18,250 ","$13,051,669 ",92,49,"$16,669 "
BOMBSHELL: The Hedy Lamarr Story,52,"$12,346 ","$217,460 ",10,50,"$14,561 "
Faces Places,56,"$9,772 ","$696,989 ",17,51,"$14,068 "
Father Figures,41,"$38,300 ","$17,388,350 ",6,52,"$13,116 "
Humor Me,78,"$2,851 ","$7,984 ",3,53,"$11,538 "
"Roman J. Israel, Esq.",66,"$5,581 ","$11,926,994 ",11,54,"$11,421 "
Jane (2017),53,"$11,587 ","$1,625,674 ",15,57,"$10,201 "
Only The Brave,49,"$15,506 ","$18,324,258 ",15,59,"$9,437 "
Ex-File 3 (Qian Ren 3),40,"$38,658 ","$808,378 ",5,61,"$7,648 "
Wonder Wheel,62,"$6,380 ","$1,392,830 ",9,63,"$6,517 "
Wastelander,58,"$8,631 ","$35,711 ",3,64,"$5,929 "
Django,64,"$6,005 ","$29,294 ",4,66,"$5,455 "
Island of Lemurs: Madagascar (IMAX),68,"$5,010 ","$11,108,930 ",200,67,"$5,373 "
Big Sonia,75,"$3,330 ","$146,696 ",11,69,"$5,055 "
Parchi,55,"$10,710 ","$59,577 ",3,70,"$4,595 "
The Breadwinner,79,"$2,796 ","$250,729 ",11,71,"$4,532 "
Under the Sea 3D,70,"$4,837 ","$35,696,979 ",468,72,"$4,522 "
My Friend Dahmer,60,"$7,311 ","$1,332,948 ",13,74,"$4,068 "
Goldbuster,50,"$13,770 ","$173,006 ",4,76,"$4,006 "
Vazante,96,$784 ,"$6,318 ",3,77,"$3,991 "
Born to Be Wild (IMAX),84,"$2,199 ","$25,623,439 ",356,78,"$3,730 "
In Between,65,"$5,898 ","$33,660 ",4,80,"$2,803 "
BPM (Beats Per Minute),99,$276 ,"$97,151 ",15,82,"$2,579 "
Birdboy: The Forgotten Children,72,"$3,730 ","$29,692 ",7,83,"$2,393 "
Hubble 3D,73,"$3,595 ","$51,996,447 ",411,84,"$2,177 "
God's Own Country,100,$155 ,"$324,569 ",14,85,"$1,980 "
Freak Show,69,"$4,927 ","$12,489 ",3,87,"$1,641 "
Novitiate,91,"$1,504 ","$574,809 ",14,88,"$1,427 "
1945,71,"$3,733 ","$269,204 ",13,90,"$1,334 "
On the Beach at Night Alone,102,$59 ,"$32,799 ",11,91,"$1,054 "
Memories of Underdevelopment (2017 re-release),77,"$2,916 ","$19,461 ",3,94,"$1,003 "
The Other Side of Hope,90,"$1,718 ","$179,848 ",9,97,$716 
The Sacrifice (2017 re-release),80,"$2,677 ","$41,447 ",15,100,$453 
Same Kind of Different as Me,82,"$2,492 ","$6,421,634 ",15,101,$420 
Youth (2017),67,"$5,241 ","$1,888,311 ",7,103,$238 
Tom of Finland,87,"$1,874 ","$347,038 ",16,104,$76 
Jumanji: Welcome to the Jungle,2,"$16,144,874 ","$337,802,077 ",7,1,"$10,930,222 "
The Greatest Showman,4,"$9,550,367 ","$126,525,599 ",7,4,"$7,695,644 "
The Post,5,"$9,107,141 ","$58,793,064 ",7,5,"$5,218,122 "
Hostiles,3,"$10,110,739 ","$11,958,534 ",7,6,"$5,108,228 "
12 Strong,6,"$8,686,066 ","$29,810,676 ",3,7,"$4,706,481 "
Den of Thieves,7,"$8,632,808 ","$28,775,253 ",3,8,"$4,551,163 "
The Shape of Water,8,"$5,922,553 ","$37,901,298 ",10,9,"$4,448,520 "
Paddington 2,9,"$5,668,433 ","$32,118,849 ",4,10,"$3,277,453 "
"Three Billboards Outside Ebbing, Missouri",12,"$3,840,684 ","$37,251,635 ",13,11,"$3,013,022 "
"I, Tonya",16,"$3,028,658 ","$18,904,773 ",9,12,"$2,469,724 "
Darkest Hour,18,"$2,886,835 ","$45,199,242 ",11,14,"$2,362,975 "
Star Wars: The Last Jedi,11,"$4,254,001 ","$610,795,822 ",8,15,"$2,338,242 "
Forever My Girl,13,"$3,569,890 ","$9,129,049 ",3,16,"$2,290,241 "
Phantom Thread,17,"$2,981,885 ","$10,713,694 ",6,17,"$2,129,155 "
Coco,21,"$1,435,157 ","$202,702,394 ",11,18,"$1,729,708 "
The Commuter,14,"$3,412,694 ","$31,389,883 ",4,19,"$1,666,757 "
Insidious: The Last Key,15,"$3,189,055 ","$63,449,355 ",5,20,"$1,462,810 "
Lady Bird,19,"$1,887,226 ","$41,610,318 ",14,21,"$1,315,538 "
Call Me by Your Name,24,"$1,289,639 ","$11,300,179 ",11,22,"$885,090 "
Pitch Perfect 3,22,"$1,367,760 ","$102,718,890 ",7,23,"$792,105 "
Molly's Game,26,"$900,977 ","$25,902,410 ",6,24,"$789,247 "
