Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
May 23-26Memorial Day wknd,2014,21,"$216,734,334 ",-29.20%,"$232,102,154 ",-26.10%,103,X-Men: Days of Future Past,/weekend/2014W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_37
May 16-18,2014,20,"$167,395,914 ",35.20%,"$178,532,518 ",30.60%,110,Godzilla,/weekend/2014W20/?ref_=bo_wey_table_38
May 9-11,2014,19,"$123,849,070 ",-12.50%,"$136,748,446 ",-11.30%,113,Neighbors,/weekend/2014W19/?ref_=bo_wey_table_39
May 2-4,2014,18,"$141,515,375 ",45.20%,"$154,089,137 ",31.90%,117,The Amazing Spider-Man 2,/weekend/2014W18/?ref_=bo_wey_table_40
Apr 25-27,2014,17,"$97,473,803 ",-16.20%,"$116,798,742 ",-12.50%,114,The Other Woman,/weekend/2014W17/?ref_=bo_wey_table_41
Apr 18-21Easter wknd,2014,16,"$128,566,271 ",-17.40%,"$144,538,498 ",-12.30%,52,Captain America: The Winter Soldier,/weekend/2014W16/occasion/easter_weekend/?ref_=bo_wey_table_42
Apr 11-13,2014,15,"$131,084,472 ",-15.90%,"$140,035,789 ",-16.20%,109,Captain America: The Winter Soldier,/weekend/2014W15/?ref_=bo_wey_table_44
Apr 4-6,2014,14,"$155,800,774 ",24.90%,"$167,195,578 ",18.80%,115,Captain America: The Winter Soldier,/weekend/2014W14/?ref_=bo_wey_table_45
Mar 28-30,2014,13,"$124,746,109 ",-3.70%,"$140,733,798 ",-0.50%,107,Noah,/weekend/2014W13/?ref_=bo_wey_table_46
Mar 21-23,2014,12,"$129,583,231 ",31.40%,"$141,511,040 ",24.20%,111,Divergent,/weekend/2014W12/?ref_=bo_wey_table_47
Mar 14-16,2014,11,"$98,624,322 ",-22.70%,"$113,961,674 ",-20.80%,108,Mr. Peabody & Sherman,/weekend/2014W11/?ref_=bo_wey_table_48
Mar 7-9,2014,10,"$127,539,955 ",22.50%,"$143,856,540 ",16.30%,110,300: Rise of an Empire,/weekend/2014W10/?ref_=bo_wey_table_49
Feb 28-Mar 2,2014,9,"$104,089,480 ",10.40%,"$123,702,145 ",10.60%,113,Non-Stop,/weekend/2014W09/?ref_=bo_wey_table_50
Feb 21-23,2014,8,"$94,308,705 ",-39.50%,"$111,894,114 ",-37.20%,106,The Lego Movie,/weekend/2014W08/?ref_=bo_wey_table_51
Feb 14-17Presidents' Day wknd,2014,7,"$182,141,128 ",26.80%,"$208,762,307 ",24%,84,The Lego Movie,/weekend/2014W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_52
Feb 7-9,2014,6,"$132,710,403 ",101.40%,"$152,984,502 ",77.70%,109,The Lego Movie,/weekend/2014W06/?ref_=bo_wey_table_54
Jan 31-Feb 2,2014,5,"$65,887,288 ",-29.50%,"$86,093,764 ",-27.10%,95,Ride Along,/weekend/2014W05/?ref_=bo_wey_table_55
Jan 24-26,2014,4,"$93,470,822 ",-36.40%,"$118,158,602 ",-33%,97,Ride Along,/weekend/2014W04/?ref_=bo_wey_table_56
