Dates,year,Week,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release
Jan 29-31,2016,5,"$118,353,833",+23.6%,"$139,252,676",+22.6%,99,Kung Fu Panda 3
Jan 22-24,2016,4,"$95,736,903",-34.2%,"$113,596,503",-31.6%,87,The Revenant
Jan 15-17,2016,3,"$145,502,232",+1.8%,"$166,004,623",+4.2%,86,Ride Along 2
Jan 15-18MLK wknd,2016,3,"$175,297,289",-20.6%,"$200,759,295",-20%,57,Ride Along 2
Jan 8-10,2016,2,"$142,912,699",-28%,"$159,323,600",-27.4%,91,Star Wars: Episode VII - The Force Awakens
Jan 1-3,2016,1,"$198,537,624",-27.3%,"$219,510,014",-26%,82,Star Wars: Episode VII - The Force Awakens
Dec 25-27,2015,52,"$273,024,546",-9.8%,"$296,447,415",-5.4%,72,Star Wars: Episode VII - The Force Awakens
Dec 18-20,2015,51,"$302,697,164",+353.8%,"$313,284,961",+304.5%,86,Star Wars: Episode VII - The Force Awakens
Dec 11-13,2015,50,"$66,695,452",-23.1%,"$77,446,378",-20.8%,92,The Hunger Games: Mockingjay - Part 2
Dec 4-6,2015,49,"$86,761,557",-48.3%,"$97,833,704",-46.4%,95,The Hunger Games: Mockingjay - Part 2
Nov 27-29,2015,48,"$167,805,985",+2.8%,"$182,526,007",+5.1%,86,The Hunger Games: Mockingjay - Part 2
Nov 26-29Thanksgiving 4-Day,2015,47,"$199,324,369",+11.3%,"$215,717,632",+13.7%,48,The Hunger Games: Mockingjay - Part 2
Nov 25-29Thanksgiving 5-Day,2015,47,"$238,078,648",+10.8%,"$256,957,261",+13.2%,48,The Hunger Games: Mockingjay - Part 2
Nov 20-22,2015,47,"$163,255,301",+74.4%,"$173,610,096",+60.7%,110,The Hunger Games: Mockingjay - Part 2
Nov 13-15,2015,46,"$93,635,619",-37.1%,"$108,047,802",-33.3%,112,Spectre
Nov 6-8,2015,45,"$148,792,362",+154.6%,"$161,918,615",+118.4%,112,Spectre
Oct 30-Nov 1,2015,44,"$58,434,174",-34.9%,"$74,128,462",-29.9%,108,The Martian
Oct 23-25,2015,43,"$89,803,867",-17.5%,"$105,775,731",-13%,110,The Martian
Oct 16-18,2015,42,"$108,805,935",+1.9%,"$121,579,792",+2.2%,108,Goosebumps
Oct 9-11,2015,41,"$106,804,689",-23.6%,"$118,992,658",-20.6%,112,The Martian
Oct 9-12Columbus Day wknd,2015,41,"$122,246,820",-18.5%,"$133,112,208",-20.3%,51,The Martian
Oct 2-4,2015,40,"$139,834,346",+11.3%,"$149,774,721",+8.7%,124,The Martian
