Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Oct 25-27,2019,43,89886989,-30.80%,101696881,-26.20%,52,Joker,/weekend/2019W43/?ref_=bo_wey_table_1
Oct 18-20,2019,42,129825817,-2.30%,137773594,-2.50%,108,Maleficent: Mistress of Evil,/weekend/2019W42/?ref_=bo_wey_table_2
Oct 11-14Columbus Day wknd,2019,41,152832766,-20.90%,161043554,-20.90%,59,Joker,/weekend/2019W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_4
Oct 4-6,2019,40,142713298,71.20%,150554448,59.30%,107,Joker,/weekend/2019W40/?ref_=bo_wey_table_5
Sep 27-29,2019,39,83354126,-26.50%,94527125,-23.40%,111,Abominable,/weekend/2019W39/?ref_=bo_wey_table_6
Sep 20-22,2019,38,113373910,16.80%,123431530,11.40%,106,Downton Abbey,/weekend/2019W38/?ref_=bo_wey_table_7
Sep 13-15,2019,37,97031904,-21.40%,110793852,-20%,106,It Chapter Two,/weekend/2019W37/?ref_=bo_wey_table_8
Sep 6-8,2019,36,123496912,93.20%,138423528,51%,92,It Chapter Two,/weekend/2019W36/?ref_=bo_wey_table_9
Aug 30-Sep 2Labor Day wknd,2019,35,84263777,-12.50%,120764143,-6.60%,82,Angel Has Fallen,/weekend/2019W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_11
Aug 23-25,2019,34,87899112,-13.70%,108764687,-9.60%,98,Angel Has Fallen,/weekend/2019W34/?ref_=bo_wey_table_12
Aug 16-18,2019,33,101857634,-16%,120307107,-8.90%,101,Good Boys,/weekend/2019W33/?ref_=bo_wey_table_13
Aug 9-11,2019,32,121235199,-15.70%,132104260,-11.30%,92,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W32/?ref_=bo_wey_table_14
Aug 2-4,2019,31,143893312,-7.50%,148998871,-8.50%,97,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W31/?ref_=bo_wey_table_15
Jul 26-28,2019,30,155622904,-38.60%,162868015,-38.30%,97,The Lion King,/weekend/2019W30/?ref_=bo_wey_table_16
Jul 19-21,2019,29,253574574,122.20%,263882516,107.90%,102,The Lion King,/weekend/2019W29/?ref_=bo_wey_table_17
Jul 12-14,2019,28,114124922,-34.50%,126932873,-30.90%,103,Spider-Man: Far from Home,/weekend/2019W28/?ref_=bo_wey_table_18
